,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
405,PoS,PoS,11075254.0929996,80000000.0,,,,,
406,CryptoNight,PoW,16016864.0,18400000.0,,,,,
407,X16R,PoS,4403800.0,45000000.0,,,,,
408,Scrypt,PoW/PoS,1404157529.46026,5121951220.0,,,,,
409,NIST5,PoW,21069346.2522598,21000000.0,,,,,
410,Lyra2RE,PoW,5097689.71077377,26280000.0,,,,,
411,XEVAN,PoS/PoW,10904963.0923455,21000000.0,,,,,
412,Tribus,PoW,795447.0,18000000.0,,,,,
413,Scrypt,PoS,38706809.466535,26000000.0,,,,,
414,Lyra2Z,PoW,6986399.70430446,10500000.0,,,,,
415,CryptoNight,PoW,84300.0,600000518.0,,,,,
416,CryptoNight Heavy,PoW,19153632.0,150000000.0,,,,,
417,CryptoNight,PoW,41294520017.0,184000000000.0,,,,,
418,Scrypt,PoW/PoS,10200000000.0,10200000000.0,,,,,
419,Scrypt,PoS,7630000.0154,44000000.0,,,,,
420,Jump Consistent Hash,PoW,135862416.039898,168000000.0,,,,,
421,SHA-256D,PoW/PoS,33238183.7225834,100000000.0,,,,,
422,CryptoNight,PoW,560085952.404637,1000000000.0,,,,,
423,Scrypt,PoW/PoS,21599339.6728,84000000.0,,,,,
424,X15,PoS,30284196.369129,90000000.0,,,,,
425,Scrypt,HPoW,77872059787.8998,92000000000.0,,,,,
426,Quark,PoS,2716264.95302831,650000000.0,,,,,
427,SHA-256,PoS,57811001.000889,100262205.0,,,,,
428,DPoS,PoS,18194936.0,18081806.0,,,,,
429,X16R,PoW,8125865.02097646,22075700.0,,,,,
430,HMQ1725,PoW,8645406.16776286,21000000.0,,,,,
431,X11,PoW,4993030.69736615,21000000.0,,,,,
432,X16R,PoW/PoS,36923120.6205934,82546564.0,,,,,
433,Quark,PoS,7082392.24744494,21000000.0,,,,,
434,Quark,PoW/PoS,5919489.76813523,5151000.0,,,,,
435,Scrypt,PoS,1042012.45227735,16880000000.0,,,,,
436,Lyra2REv2,PoW/PoS,13332617.9413708,52500000.0,,,,,
437,Quark,PoS,66053877.6256106,100000000.0,,,,,
438,Scrypt,PoW,1416663.06600024,22105263.0,,,,,
439,Scrypt,PoW/PoS,5403802.49590733,1000000000.0,,,,,
440,CryptoNight-V7,PoW,15580199.3087496,1750000000.0,,,,,
441,Cryptonight-GPU,PoW,4890897.0,88188888.0,,,,,
442,XEVAN,PoW,14746153.0962884,210000000.0,,,,,
443,CryptoNight Heavy,PoW,99553110528.8022,184470000000.0,,,,,
444,X11,PoS,19269509.94,55000000.0,,,,,
445,X11,PoW/PoS,30771125.9760867,50000000.0,,,,,
446,Scrypt,PoS,107763867.917675,260000000.0,,,,,
